Issue Number,Type,Title,Labels,Priority,Phase,Parent Epic,Blocking Launch,Description,Depends On,Blocks
170,Feature,[Orders] Failed Capture Recovery Flow,"orders, payments, error-handling",P0,phase:2,#160,Yes,"Handle failed payment capture after weigh: inventory status (hold vs release), fulfillment status rollback to prevent shipping, QB sync reversal or hold, customer notification with payment update link, retry mechanism (manual or automatic), admin dashboard for failed captures, manual resolution workflow and audit trail.",#166,
171,Feature,[Admin] Orders Pending Weigh Queue View,"admin, warehouse, orders, ui",P0,phase:2,#161,Yes,"Admin/staff view showing orders in PLACED_ESTIMATED state awaiting weigh. Features: filtering by date range, fulfillment method (UPS vs local pickup), priority/rush orders; sortable columns (order date, customer, estimated total); pagination for large queues; search by order number or customer; count badges showing queue size.",#164,"#172, #174"
172,Feature,[Admin] Per-Line Weight Entry Interface,"admin, warehouse, ui, net-weight",P0,phase:2,#161,Yes,"For each order line item display: product name/SKU/image, estimated weight from checkout, expected weight range (min/max from product metadata). Input: actual weight field with unit selector, validation against expected range (warning if outside), support for multiple pieces per line (e.g., 3 roasts totaling X lbs), ability to split line if needed.","#165, #171, #177","#173, #174"
173,Feature,[Admin] Recalculated Totals Preview,"admin, warehouse, ui, pricing",P0,phase:2,#161,Yes,"Show preview before confirmation: side-by-side original estimate vs calculated final total, per-line breakdown showing price deltas (+ or -), subtotal/tax/shipping breakdown, shipping cost impact if weight affects shipping tier, dry ice cost adjustments if applicable, visual highlighting for significant variances (e.g., >10% difference).",#172,#174
174,Feature,[Admin] Weigh Confirmation & State Transition,"admin, warehouse, orders, workflow",P0,phase:2,#161,Yes,"On staff confirmation: persist actual weights to order line items, save recalculated prices as final, transition order state to WEIGHED, trigger payment capture workflow from Epic #160, show success/failure feedback, prevent double-submission with UI lock, handle capture failure gracefully with clear next steps.","#166, #173",
175,Feature,[Admin] Substitution & Short Pick Entry,"admin, warehouse, substitutions",P1,phase:2,#161,No,"UI for warehouse staff to: mark items as partially filled with actual quantity, mark items as substituted with replacement product search/selection, enter reason for substitution (out of stock, quality issue, customer request), auto-recalculate totals including substitution price difference, flag for customer notification.",#171,
176,Feature,[Admin] Weigh Audit Trail & Error Logging,"admin, warehouse, audit, logging",P1,phase:2,#161,No,"Comprehensive logging: staff ID who performed weigh, timestamp of each action, original estimated values, entered actual values, any manual adjustments or overrides, substitution/partial fill reasons. Display: audit history tab in order detail view, exportable for compliance, searchable by staff/date/order for dispute resolution.",#174,
177,Task,[API] Pick & Weigh Backend Endpoints,"api, warehouse, backend",P0,phase:2,#161,Yes,"REST/GraphQL endpoints: GET orders pending weigh (with filters), GET order detail for weigh entry, POST submit weights for order lines, GET preview recalculated totals (before confirm), POST confirm weigh and trigger capture, GET weigh audit history. Include: input validation, error responses, authentication/authorization for warehouse role.","#164, #165","#171, #172, #173, #174"
178,Task,[Migration] Legacy JSP System Discovery & Schema Mapping,"migration, documentation, discovery",P0,phase:1,#162,Yes,"Document current JSP database schema: products (name, description, price, weight, category, images), categories and hierarchy, kosher certifications and attributes, customers (name, email, phone, addresses, order history reference), historical orders if migrating. Create detailed field-by-field mapping document to Medusa + Strapi target schema.","","#179, #180, #181"
179,Task,[Migration] Data Classification (Migrate vs Archive),"migration, planning",P1,phase:1,#162,No,"Decision document for each data type: MIGRATE fully to new system (active products, current customers), ARCHIVE read-only in legacy (old orders, inactive products), DISCARD (test data, duplicates). Consider: GDPR/data retention requirements, storage costs, business value of historical data. Get stakeholder sign-off.",#178,
180,Feature,[Migration] Export Scripts from Legacy DB,"migration, scripts, backend",P0,phase:1,#162,Yes,"Create export scripts for legacy JSP database: connect to source DB (document connection method), extract each entity type to JSON/CSV, include all fields per mapping document, data validation (null checks, format validation), integrity checks (referential consistency), logging and error reporting, incremental export support for large datasets.",#178,"#181, #182"
181,Feature,[Migration] Transform Scripts to Medusa/Strapi Format,"migration, scripts, backend",P0,phase:1,#162,Yes,"Transform exported data to target schemas: products → Medusa products with variants + kosher metadata fields, categories → Medusa product categories with hierarchy, customers → Medusa customers with addresses, content/pages → Strapi content types. Requirements: idempotent (re-runnable without duplicates), ID mapping table for references, image/asset URL transformation, validation of transformed output.",#180,"#182"
182,Task,[Migration] Staging Dry Run & Validation,"migration, testing, staging",P0,phase:1,#162,Yes,"Execute full migration on staging environment. Validation checklist: record counts match source (products, categories, customers), random spot checks (minimum 10 per entity) for prices/weights/categories/metadata accuracy, referential integrity (products have valid categories), images/assets accessible, search/filter works on migrated data. Document all discrepancies with resolution plan.",#181,#183
183,Task,[Migration] Production Cutover Playbook,"migration, launch, documentation",P0,phase:1,#162,Yes,"Final production migration runbook: data freeze window (when to stop taking orders on old system), pre-migration checklist, step-by-step migration execution with estimated times, validation gates (what must pass before proceeding), rollback procedure and triggers, communication plan (customer notice, team alerts), responsible parties for each step.",#182,"#186, #187"
184,Task,[QA] Comprehensive Test Plan Document,"qa, testing, documentation",P0,phase:4,#163,Yes,"Written test plan covering all major flows: browse/search/filter products, product detail and add to cart, net-weight orders end-to-end (estimate → weigh → capture), pick & weigh staff workflow, shipping flows (UPS ground, UPS express, local pickup, cold chain/dry ice), QuickBooks sync (orders, payments, refunds, inventory adjustments), payment edge cases (failures, retries, refunds), error scenarios and recovery.","#164, #171",#185
185,Task,[QA] UAT Scenarios for Grillers Pride Staff,"qa, uat, documentation",P0,phase:4,#163,Yes,"UAT script document with named scenarios for staff execution: Scenario 1 - Customer checkout with net-weight items, Scenario 2 - Staff weigh and capture workflow, Scenario 3 - Substitution handling, Scenario 4 - Failed payment recovery, Scenario 5 - UPS shipping label generation, Scenario 6 - Local pickup flow, Scenario 7 - QB sync verification. Include: step-by-step instructions, expected results, sign-off checkbox, tester name/date fields.",#184,#186
186,Task,[Launch] Cutover Runbook & Dry Run,"launch, operations, documentation",P0,phase:4,#163,Yes,"DNS/routing plan: current DNS config, target config, TTL considerations, CDN/cache invalidation. Data freeze: timing window, customer communication, order handling during freeze. Final migration steps with go/no-go checkpoints. Smoke test checklist post-cutover. Dry-run rehearsal: execute full runbook on staging/test domain, measure actual timing, identify issues. Rollback triggers and procedure.","#183, #185",#187
187,Task,[Launch] Production Cutover Checklist,"launch, operations",P0,phase:4,#163,Yes,"Official launch day checklist: pre-launch verification (all tests pass, stakeholder approval, team availability), go/no-go decision meeting and criteria, launch execution steps with timestamps, post-launch smoke tests (can browse, can checkout, payments work, QB syncs), stakeholder notification (go-live announcement), monitoring dashboard review, first hour watch protocol.",#186,#188
188,Task,[Launch] 30-Day Warranty & Support Plan,"launch, support, documentation",P0,phase:4,#163,Yes,"Post-launch warranty plan per SOW: P0 definition (site down, payments broken, data loss) - 4hr response, P1 definition (major feature broken, significant UX issue) - 24hr response, P2 definition (minor bugs, cosmetic issues) - 48hr response. Monitoring ownership and alert routing. On-call schedule for 30 days. Escalation path. Communication channels (Slack, email, phone). Bug tracking and triage process. Weekly status reports.",#187,
189,Meta,[Meta] SOW & Handover Brief Coverage Map,"meta, documentation, tracking",P1,all,,No,"Master tracking issue mapping each SOW/brief section to implementing issues. Sections: Net-weight lifecycle & payments → Epic #160, Shipping/UPS/cold chain/pickup → #existing + gaps, QuickBooks Desktop integration → #existing, Catalog & kosher product metadata → #141 #142, Strapi CMS/marketing/SEO → #existing, Analytics & tracking → #existing, ADA/WCAG 2.1 AA → verify coverage, Migration → Epic #162, QA/UAT/cutover/warranty → Epic #163. Note intentionally deferred or out-of-scope items with rationale.",,
190,Task,[Meta] Apply Phase & Priority Labels to All Issues,"meta, housekeeping",P2,all,,No,"Review and tag all existing and new issues with delivery phase labels: phase:1 (Catalog, CMS, schema, CI), phase:2 (Checkout, payments, net-weight, shipping), phase:3 (QuickBooks, ops, merchandising), phase:4 (QA, UAT, launch, warranty). Add 'blocking' label to all launch-blocking issues. Update issue priorities (P0/P1/P2) based on phase and dependencies.",,
